model_id,model,test_subject,session_id,true_label,windows,accuracy,balanced_accuracy,predicted_class_counts,predicted_class_ratio
lyc_personal,lyc personal model,lyc,20260907_lyc_focus_01,focus,422,0.1492890995260663,,"{""focus"": 63, ""unfocus"": 359}","{""focus"": 0.1492890995260663, ""unfocus"": 0.8507109004739336}"
lyc_personal,lyc personal model,lyc,20260907_lyc_focus_02,focus,283,0.8657243816254417,,"{""focus"": 245, ""unfocus"": 38}","{""focus"": 0.8657243816254417, ""unfocus"": 0.1342756183745583}"
lyc_personal,lyc personal model,lyc,20260907_lyc_unfocus_01,unfocus,424,0.5165094339622641,,"{""focus"": 205, ""unfocus"": 219}","{""focus"": 0.4834905660377358, ""unfocus"": 0.5165094339622641}"
lyc_personal,lyc personal model,zyf,20260907_zyf_focus_01,focus,424,0.9976415094339622,,"{""focus"": 423, ""unfocus"": 1}","{""focus"": 0.9976415094339622, ""unfocus"": 0.0023584905660377}"
lyc_personal,lyc personal model,zyf,20260907_zyf_focus_02,focus,418,0.9976076555023924,,"{""focus"": 417, ""unfocus"": 1}","{""focus"": 0.9976076555023924, ""unfocus"": 0.0023923444976076}"
lyc_personal,lyc personal model,zyf,20260907_zyf_unfocus_01,unfocus,418,0.0382775119617224,,"{""focus"": 402, ""unfocus"": 16}","{""focus"": 0.9617224880382776, ""unfocus"": 0.0382775119617224}"
existing_pooled_frozen,Existing pooled frozen model,lyc,20260907_lyc_focus_01,focus,422,0.5213270142180095,,"{""focus"": 220, ""unfocus"": 202}","{""focus"": 0.5213270142180095, ""unfocus"": 0.4786729857819905}"
existing_pooled_frozen,Existing pooled frozen model,lyc,20260907_lyc_focus_02,focus,283,0.950530035335689,,"{""focus"": 269, ""unfocus"": 14}","{""focus"": 0.950530035335689, ""unfocus"": 0.0494699646643109}"
existing_pooled_frozen,Existing pooled frozen model,lyc,20260907_lyc_unfocus_01,unfocus,424,0.5919811320754716,,"{""focus"": 173, ""unfocus"": 251}","{""focus"": 0.4080188679245283, ""unfocus"": 0.5919811320754716}"
existing_pooled_frozen,Existing pooled frozen model,zyf,20260907_zyf_focus_01,focus,424,0.0683962264150943,,"{""focus"": 29, ""unfocus"": 395}","{""focus"": 0.0683962264150943, ""unfocus"": 0.9316037735849056}"
existing_pooled_frozen,Existing pooled frozen model,zyf,20260907_zyf_focus_02,focus,418,0.3995215311004784,,"{""focus"": 167, ""unfocus"": 251}","{""focus"": 0.3995215311004784, ""unfocus"": 0.6004784688995215}"
existing_pooled_frozen,Existing pooled frozen model,zyf,20260907_zyf_unfocus_01,unfocus,418,0.9210526315789472,,"{""focus"": 33, ""unfocus"": 385}","{""focus"": 0.0789473684210526, ""unfocus"": 0.9210526315789472}"
zyf_personal,zyf personal model,lyc,20260907_lyc_focus_01,focus,422,0.2274881516587677,,"{""focus"": 96, ""unfocus"": 326}","{""focus"": 0.2274881516587677, ""unfocus"": 0.7725118483412322}"
zyf_personal,zyf personal model,lyc,20260907_lyc_focus_02,focus,283,0.0,,"{""focus"": 0, ""unfocus"": 283}","{""focus"": 0.0, ""unfocus"": 1.0}"
zyf_personal,zyf personal model,lyc,20260907_lyc_unfocus_01,unfocus,424,0.9929245283018868,,"{""focus"": 3, ""unfocus"": 421}","{""focus"": 0.0070754716981132, ""unfocus"": 0.9929245283018868}"
zyf_personal,zyf personal model,zyf,20260907_zyf_focus_01,focus,424,0.0943396226415094,,"{""focus"": 40, ""unfocus"": 384}","{""focus"": 0.0943396226415094, ""unfocus"": 0.9056603773584906}"
zyf_personal,zyf personal model,zyf,20260907_zyf_focus_02,focus,418,0.3086124401913875,,"{""focus"": 129, ""unfocus"": 289}","{""focus"": 0.3086124401913875, ""unfocus"": 0.6913875598086124}"
