recording_id,session_id,source_stem,subject_id,recorded_date,recorded_time,filename_label,canonical_label,intended_label,label_source,label_conflict,label_conflict_note,model_prediction_used_for_label,timestamp,timezone,feedback_round,feedback_seen_before_recording,feedback_round_source,task,mode,subjective_state,wear_or_anomaly_notes,dataset_role,experiment_version,eligible_for_training,eligible_for_validation,eligible_for_final_test,status,pair_id,original_filename,edf_path,edf_size_bytes,edf_sha256,csv_path,csv_size_bytes,csv_sha256,dsi_path,dsi_size_bytes,dsi_sha256,md_note_path,paired_files_complete,integrity_status,recording_duration_s,sfreq_hz,n_signals,edf_header_start_timestamp,csv_start_timestamp,csv_last_time_s,csv_data_rows,csv_columns,csv_last_time_minus_edf_duration_s,metadata_missing_fields,notes
lyc_focus_202609141641,lyc_focus_202609141641,lyc_focus_202609141641,lyc,2026-09-14,16:41:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T16:41:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609141641_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141641_raw.edf,14631912,0729a05a942aca6f091afa15af91d5a1d5a29dd5f66419fdd759940c57dfeb52,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141641_raw.csv,49420202,62b12810892735216e9740f4f257962d133a6f495802bb5e3a4ed9cb86e48391,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141641.dsi,18014208,f54d46326a0ac09d36528d781e759b88072124732009bb692c0ad92437e1a784,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,937.5,300,26,2026-09-14T16:40:13+08:00,2026-09-14T16:40:13+08:00,938.0656,281420,31,0.5656,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_focus_202609141702,lyc_focus_202609141702,lyc_focus_202609141702,lyc,2026-09-14,17:02:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T17:02:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609141702_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141702_raw.edf,11036112,e15db6359124ca7ca69fdba483bf862c80aa7185ca3870ba0f587bf0fb4acd04,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141702_raw.csv,35946863,b5a3ea01c690f67bda085138391dd3612d2188840dae301456712c9e33892e13,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141702.dsi,13586432,99e8e7a1c7c4f33c3e19402c72eb0993168b2b9a6f11527754d284f3e74dab1c,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,707,300,26,2026-09-14T17:01:21+08:00,2026-09-14T17:01:21+08:00,707.4561,212237,31,0.4561,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_focus_202609141717,lyc_focus_202609141717,lyc_focus_202609141717,lyc,2026-09-14,17:17:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T17:17:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609141717_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141717_raw.edf,12455712,5efe932729caf83e6a28997e7524fdcf7047417a1f5993ce4a0a18b9fe56e244,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141717_raw.csv,40448079,09fe876579e68822d129b8b8a27f9c0b1a8bd1b8e090f3d219f695dbb7396463,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141717.dsi,15335424,2096cfb512272982f0cf60e127768ecf818aa15073ea90a32ee079792d1c7df7,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,798,300,26,2026-09-14T17:17:12+08:00,2026-09-14T17:17:12+08:00,798.5056,239552,31,0.5056,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_focus_202609141800,lyc_focus_202609141800,lyc_focus_202609141800,lyc,2026-09-14,18:00:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T18:00:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609141800_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141800_raw.edf,19834512,1cab948410c450dc31ee1bf69fb3d9f237d9c73f6581dccdc5792562bd6b68fb,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141800_raw.csv,63438029,63da430b9166c1faa396d82deca22c4d99c7a2a98e3a8d85266f14500b034c98,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141800.dsi,24412160,ca6dfc366ce0e393981310b5ca33ff86270130a778f56fa5d2af9f9b8d633de2,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,1271,300,26,2026-09-14T18:01:05+08:00,2026-09-14T18:01:05+08:00,1278.3817,381418,31,7.3817,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_focus_202609141959,lyc_focus_202609141959,lyc_focus_202609141959,lyc,2026-09-14,19:59:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T19:59:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609141959_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141959_raw.edf,3399912,c56eecad75fd050d6b9099ff2e0f20601684729c2e54cbe9c75ea8eabff15cf4,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141959_raw.csv,10912829,a839dae89b9da0998152526cb443dd72dd630ef9623623406a8dd16615b820fc,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141959.dsi,4190208,80b4427e59ece2afba78bdb917a08f7a31e8976a36a10e8e918353d2cd3cf9c6,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,217.5,300,26,2026-09-14T19:59:08+08:00,2026-09-14T19:59:08+08:00,218.0094,65403,31,0.5094,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_focus_202609142023,lyc_focus_202609142023,lyc_focus_202609142023,lyc,2026-09-14,20:23:00,focus,focus,focus,md_note_shared,false,none,false,2026-09-14T20:23:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,大部分时间专注；精神高度集中操作谨慎；角色死亡后可能分心30-59s直至复活,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_focus_202609142023_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609142023_raw.edf,10880112,20a5b6d253c6948bad798924cf574bb94fb1658455f3bb975f2de9fa7e697db0,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609142023_raw.csv,33732820,009c56bc3d537fe00943084ed48a76273a4283a7b83c6e8f9db332f0dc43031d,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609142023.dsi,13393920,c856fd2ad971bebeb0f28e161d7ced6b968b921e3ea308fd8cfff2b6aafb7262,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,697,300,26,2026-09-14T20:31:32+08:00,2026-09-14T20:31:32+08:00,697.4656,209240,31,0.4656,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_foucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
lyc_unfocus_202609141825,lyc_unfocus_202609141825,lyc_unfocus_202609141825,lyc,2026-09-14,18:25:00,unfocus,unfocus,unfocus,md_note_shared,false,none,false,2026-09-14T18:25:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,玩王者,排位,虽然叫做不专注状态，但是一直在玩游戏；玩的很放松精神不紧张,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,lyc_unfocus_202609141825_raw.edf,data/exploratory/lab_feedback/2026-09-14/lyc_unfocus_202609141825_raw.edf,17783112,232a676394896075ea748bcf061661ebf486a926f025ee9e53342df6c052e903,data/exploratory/lab_feedback/2026-09-14/lyc_unfocus_202609141825_raw.csv,57724679,a797c8f7f13ce82c083473991cbf6537b84d8a5978c475cff758edf97d58c16b,data/exploratory/lab_feedback/2026-09-14/lyc_unfocus_202609141825.dsi,21897216,9ffda70a378a480db4b89c3b793d7676bb84382e87351d0c693f676894cbd4f2,data/exploratory/lab_feedback/2026-09-14/lyc_unfoucs_20260914.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,1139.5,300,26,2026-09-14T18:37:55+08:00,2026-09-14T18:37:55+08:00,1140.295,342089,31,0.795,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=lyc_unfoucs_20260914.md；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
zyf_focus_202609141752,zyf_focus_202609141752,zyf_focus_202609141752,zyf,2026-09-14,17:52:00,focus,focus,focus,md_note,false,none,false,2026-09-14T17:52:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,象棋,棋力测评,attention=6; engagement=6; arousal=3; immersion=6,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,zyf_focus_202609141752.edf,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141752.edf,11231112,b50578764b95b435c8c3b37405359a26f695b67c5e79393028d3122c700f9741,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141752.csv,38271936,a9b57b1200f0780c88b25ff67d706d7c3901b85c6f31843ad2997ff8ef177bed,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141752.dsi,13828096,7c5313c8e7798028949b915fb17caf288832353983f88425d3ff440664f68dbc,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141752.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,719.5,300,26,2026-09-14T17:49:05+08:00,2026-09-14T17:49:05+08:00,719.9989,216000,31,0.4989,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=zyf_focus_202609141752.md；现场notes=下棋肯定是想往赢了下；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
zyf_focus_202609141810,zyf_focus_202609141810,zyf_focus_202609141810,zyf,2026-09-14,18:10:00,focus,focus,focus,md_note,false,none,false,2026-09-14T18:10:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,象棋,棋力测评,attention=5; engagement=5; arousal=4; immersion=4,unknown,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,zyf_focus_202609141810.edf,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141810.edf,13126512,2533d3c9fc2707a3eb2a6ec7128b72acd8e9c0c2e83d52eb9e16c512e6c9721e,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141810.csv,43423697,7e1de1f7e1d3d8b8c27110a32c4af8cbd75de624dd6079d80d48a21193b8cfd7,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141810.dsi,16162816,02a7dbab46e3d628e3d7209aa8bcf673f8d24640ccdef385e1a0fc4bf740af70,data/exploratory/lab_feedback/2026-09-14/zyf_focus_202609141810.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,841,300,26,2026-09-14T18:10:49+08:00,2026-09-14T18:10:49+08:00,841.6189,252486,31,0.6189,feedback_round;feedback_seen_before_recording;pair_id;wear_or_anomaly_notes,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=zyf_focus_202609141810.md；现场notes=与好友下象棋，休闲局；文件名无feedbackX，未按时间顺序推断反馈轮次；标签来自现场md note，文件名仅作filename_label provenance；CSV时间轴与EDF时长差异原值保留；未使用模型预测改标签
zyf_unfocus_202609141641,zyf_unfocus_202609141641,zyf_unfocus_202609141641,zyf,2026-09-14,16:41:00,unfocus,focus,focus,md_note,true,filename_label=unfocus；canonical_label=focus；同stem现场md的condition=focus；按.md优先级登记；未使用模型预测改标签,false,2026-09-14T16:41:00+08:00,Asia/Shanghai,unknown,unknown,unknown_no_feedbackX_in_filename_or_notes,恐怖游戏,outlast,attention=3; engagement=5; arousal=7; immersion=3,外部干扰；恐怖刺激引起明显惊吓及叫喊；因害怕而放慢剧情推进；自觉未达到预期专注状态,historical_pilot,pre_new_paradigm/lab_feedback_2026-09-14,false,false,false,archived_verified,unknown,zyf_unfocus_202609141641.edf,data/exploratory/lab_feedback/2026-09-14/zyf_unfocus_202609141641.edf,14444712,625bc1831eb097ee03031cae007d6c9805adc6f7d39eb7234f6ad091d53dd9a6,data/exploratory/lab_feedback/2026-09-14/zyf_unfocus_202609141641.csv,50995026,3264684228f09d074fc40f956d29c6418133c8c8695f1aa8810ba51e3455ae8a,data/exploratory/lab_feedback/2026-09-14/zyf_unfocus_202609141641.dsi,17784832,69be1c3877a5c8f493198540ce98b12501c2cb7798d57a4f2766205fe4391cf9,data/exploratory/lab_feedback/2026-09-14/zyf_unfocus_202609141641.md,true,verified_edf_header_exact_size_paired_csv_dsi_csv_300Hz,925.5,300,26,2026-09-14T16:40:54+08:00,2026-09-14T16:40:54+08:00,926.2156,277865,31,0.7156,feedback_round;feedback_seen_before_recording;pair_id,归档分类=historical_pilot；transition dataset；原始实验用途=lab_feedback；现场记录来源=zyf_unfocus_202609141641.md；现场md的condition=focus，与EDF文件名unfocus冲突；按.md优先级将canonical_label登记为focus；filename_label=unfocus仅作provenance；未使用模型预测改标签；文件名无feedbackX，未推断反馈轮次；CSV时间轴与EDF时长差异原值保留
