classification,source_path,destination_path,file_type,subject,recording_date,task,sha256,reason,dependency_note
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_focus_202609161100_raw.edf,data/current/2026-09-16/raw/lyc_focus_202609161100_raw.edf,EDF,lyc,2026-09-16,王者荣耀高投入专注,b9d30de36284db7a34df4b01a6e65a1e1be51f87dee2ebcd20222b068a4316a4,bootstrap training session 1/6,MNE EDF input; Git ignored
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_focus_202609161115_raw.edf,data/current/2026-09-16/raw/lyc_focus_202609161115_raw.edf,EDF,lyc,2026-09-16,王者荣耀高投入专注,fb0cf4cbbf4f515c4861430c7cc850948e970c8d00968bbae50766981a572967,bootstrap training session 2/6,MNE EDF input; Git ignored
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_focus_202609161134_raw.edf,data/current/2026-09-16/raw/lyc_focus_202609161134_raw.edf,EDF,lyc,2026-09-16,王者荣耀高投入专注,930e432afbedcf5fbd7e1e518bb2d8975fc8d9a3668540e2446addfa423ef8c5,bootstrap training session 3/6,MNE EDF input; Git ignored
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_observe_202509161235_raw.edf,data/current/2026-09-16/raw/lyc_observe_202509161235_raw.edf,EDF,lyc,2026-09-16,认真观战王者,118a5ae9561a2a02f738844d1317bf75ce87ce52486226c2a67b4a24fb8fb233,prediction-only motor/active-passive reference,MNE EDF input; Git ignored; filename date discrepancy retained
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_unfocus_202509161254_raw.edf,data/current/2026-09-16/raw/lyc_unfocus_202509161254_raw.edf,EDF,lyc,2026-09-16,王者荣耀低投入不专注,872c0746c234bf3be2bdc30bbd5250a0816840bae8672ce14a3e94f9d7d21bdd,bootstrap training session 4/6,MNE EDF input; Git ignored; filename date discrepancy retained
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_unfocus_202509161306_raw.edf,data/current/2026-09-16/raw/lyc_unfocus_202509161306_raw.edf,EDF,lyc,2026-09-16,王者荣耀低投入不专注,22db4a55d8abde4343eebf5e7b3a4f7fe53f8f4091d44d23db0f2a487ebcae89,bootstrap training session 5/6,MNE EDF input; Git ignored; filename date discrepancy retained
MUST_MIGRATE,data/current/new_paradigm_v1/raw/lyc/lyc_unfocus_202509161316_raw.edf,data/current/2026-09-16/raw/lyc_unfocus_202509161316_raw.edf,EDF,lyc,2026-09-16,王者荣耀低投入不专注,e27a69728a2cd3e98215eb9d86c1c2812e5abd17da90de06977d157310df7cea,bootstrap training session 6/6,MNE EDF input; Git ignored; filename date discrepancy retained
MUST_MIGRATE,data/current/new_paradigm_v1/session_manifest.csv,data/manifest.csv,CSV manifest,lyc,2026-09-16,seven-session provenance,5a9ec25cfb3d7d3c6804ac0c506d07f9e3b03840397e46bd334dae33496efa03,authoritative labels roles intervals and hashes,adapt optional sidecar paths in new schema
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_focus_01.md,data/current/2026-09-16/notes/20260916_lyc_focus_01.md,Markdown note,lyc,2026-09-16,focus provenance,89d57b2fa0cea34f2972eb02dd167e7c65faa36048805cd76ba075415b3d5f7f,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_focus_02.md,data/current/2026-09-16/notes/20260916_lyc_focus_02.md,Markdown note,lyc,2026-09-16,focus provenance,be17325164c4db0d5ea3bd1cdaf9506fc60d14703166626c340f504eeb22a1fc,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_focus_03.md,data/current/2026-09-16/notes/20260916_lyc_focus_03.md,Markdown note,lyc,2026-09-16,focus provenance,0d53201e3b28bb11df50f49a963164b3f5275609ce5c8f9a52a56691e8de63d3,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_observe_01.md,data/current/2026-09-16/notes/20260916_lyc_observe_01.md,Markdown note,lyc,2026-09-16,observe provenance,2ec90cbd87fe1d531695bbbddb43da6e771eec137ba2c5dd17e23bb5e29d50ce,reference role and filename-date provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_unfocus_01.md,data/current/2026-09-16/notes/20260916_lyc_unfocus_01.md,Markdown note,lyc,2026-09-16,unfocus provenance,3176107f074cd50d8036f433bacdf1aa8f74038a600952bf0defdb65af4cae93,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_unfocus_02.md,data/current/2026-09-16/notes/20260916_lyc_unfocus_02.md,Markdown note,lyc,2026-09-16,unfocus provenance,20fcb8f2786aa33fa909e0a99b723a3a14de79fafe8b8d49820899ecfe566230,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/notes/20260916_lyc_unfocus_03.md,data/current/2026-09-16/notes/20260916_lyc_unfocus_03.md,Markdown note,lyc,2026-09-16,unfocus provenance,74de67045984bc2e977f99c622dfea87af22771b6c6f1e8228ad5727aad45c00,label and task provenance,
MUST_MIGRATE,data/current/new_paradigm_v1/control_experiment_log_template.csv,data/control_experiment_log_template.csv,CSV template,N/A,current,control metadata,4d94185fea8bc1402ccc7209422918da254e711831502865d6a41df34c816e33,control experiment schema,does not replace manifest
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/binary_model.joblib,artifacts/bootstrap_baseline/binary_model.joblib,joblib model,lyc,2026-09-16,bootstrap/reference baseline,2b7b97f9f2399bcd3595df63a406fd66adfb470edc7f9390d8d67d45431d8e24,only model approved for continued use,requires compatible joblib numpy and scikit-learn
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/config.json,artifacts/bootstrap_baseline/config.json,JSON config,lyc,2026-09-16,feature and model contract,a88db15b292574ad4f283f3255834214c60d4dcb1ceab5ef1dfa3d9126b91e24,channel and feature ordering,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/baseline_freeze_manifest.json,artifacts/bootstrap_baseline/baseline_freeze_manifest.json,JSON manifest,lyc,2026-09-16,freeze provenance,42b5f46fecf5f2f9713d3124af37ccc047a6e3005704f73c7fd5e7e722ec1fd2,source commit and artifact integrity,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/run_manifest.json,artifacts/bootstrap_baseline/run_manifest.json,JSON manifest,lyc,2026-09-16,run provenance,5dd1ba2bebbb887a0bb0d56bcb94c591d1a1218b6eed068130507d1c5944b292,freeze-before-observe and artifact hashes,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/input_sessions.csv,artifacts/bootstrap_baseline/input_sessions.csv,CSV provenance,lyc,2026-09-16,six fit sessions,4781c20609dbdca7f5cb115d720a946ad2fa564c5b39ebbad7efe811b423f28e,explicit training scope,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/fold_metrics.csv,artifacts/bootstrap_baseline/fold_metrics.csv,CSV metrics,lyc,2026-09-16,LOSO metrics,182ccba618f4eb2913e0e8e49019bcb4f2b9892dfaf8b348566f6cf83ebce72d,compact evaluation evidence,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/fold_confusion_matrices.csv,artifacts/bootstrap_baseline/fold_confusion_matrices.csv,CSV metrics,lyc,2026-09-16,per-fold confusion,eecf0f47c1ccdc038acd6fdc1f28576aa5e79ba8fd421eee02f2e328206fdcac,compact evaluation evidence,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/overall_metrics.json,artifacts/bootstrap_baseline/overall_metrics.json,JSON metrics,lyc,2026-09-16,aggregate LOSO,618767ab754011173ab896cb91cbbfaaf98374ca73e963f2b5950cedcb6de5e8,single-day exploratory summary,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/session_confusion_matrix.csv,artifacts/bootstrap_baseline/session_confusion_matrix.csv,CSV metrics,lyc,2026-09-16,session confusion,03df4d64b8a853bbd48d29de9553773b3f4e6da4ebcd4ae5a20835f5ebfbf2c0,session-level evidence,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/window_confusion_matrix.csv,artifacts/bootstrap_baseline/window_confusion_matrix.csv,CSV metrics,lyc,2026-09-16,window confusion,b93560cd7ba1946ecd942db4d888be21d43c5798354bd4f5b50defe988d6d016,aggregate evidence without per-window rows,
MUST_MIGRATE,artifacts/current/new_paradigm_v1/2026-09-16_lyc_first_pass/observe_summary.json,artifacts/bootstrap_baseline/observe_summary.json,JSON prediction summary,lyc,2026-09-16,observe prediction-only,d5d2ab4c85fdce7e35bca772bd0be3f99deda2a0a9fa1cbce0bd97c596a2c45d,motor/active-passive reference summary,
MUST_MIGRATE,docs/current/ENGAGEMENT_CONTROL_ROADMAP.md,docs/control-experiments.md,Markdown,N/A,current,control ladder,d5e19d66e7acbad95e58d25fd323533d7e909e112c3525f57962c8f976a875af,current engagement research plan,rewrite repository-specific links
MUST_MIGRATE,docs/current/NEW_PARADIGM_V1.md,docs/research-roadmap.md,Markdown,N/A,current,research positioning,883866440f150ffe652848c937d37ebe5b3919901ed910f20c195250686b62c1,engagement construct and evidence boundary,rewrite around new repository
MUST_MIGRATE,docs/current/DATA_PROTOCOL_V2.md,docs/data-protocol.md,Markdown,N/A,current,data protocol,9507a1f0289559ba6861c69f4e11507af4d6512b5e8912066d145638935084fb,collection split and holdout rules,rewrite path references
REFERENCE_ONLY,docs/progress/EEG项目推进简报_2026-09-16.md,docs/history-and-provenance.md,Markdown,N/A,2026-09-16,baseline snapshot,90c09af419e5f8e9648a87c05130144e3f074f5b3347bc16931187b8b1a4af36,summarize and link rather than copy full history,
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141641_raw.edf,data/reference/2026-09-14/lyc_focus_202609141641_raw.edf,EDF,lyc,2026-09-14,玩王者排位,0729a05a942aca6f091afa15af91d5a1d5a29dd5f66419fdd759940c57dfeb52,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141702_raw.edf,data/reference/2026-09-14/lyc_focus_202609141702_raw.edf,EDF,lyc,2026-09-14,玩王者排位,e15db6359124ca7ca69fdba483bf862c80aa7185ca3870ba0f587bf0fb4acd04,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141717_raw.edf,data/reference/2026-09-14/lyc_focus_202609141717_raw.edf,EDF,lyc,2026-09-14,玩王者排位,5efe932729caf83e6a28997e7524fdcf7047417a1f5993ce4a0a18b9fe56e244,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141800_raw.edf,data/reference/2026-09-14/lyc_focus_202609141800_raw.edf,EDF,lyc,2026-09-14,玩王者排位,1cab948410c450dc31ee1bf69fb3d9f237d9c73f6581dccdc5792562bd6b68fb,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_unfocus_202609141825_raw.edf,data/reference/2026-09-14/lyc_unfocus_202609141825_raw.edf,EDF,lyc,2026-09-14,玩王者排位放松,232a676394896075ea748bcf061661ebf486a926f025ee9e53342df6c052e903,task consistency/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609141959_raw.edf,data/reference/2026-09-14/lyc_focus_202609141959_raw.edf,EDF,lyc,2026-09-14,玩王者排位,c56eecad75fd050d6b9099ff2e0f20601684729c2e54cbe9c75ea8eabff15cf4,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_MIGRATION_CANDIDATE,data/exploratory/lab_feedback/2026-09-14/lyc_focus_202609142023_raw.edf,data/reference/2026-09-14/lyc_focus_202609142023_raw.edf,EDF,lyc,2026-09-14,玩王者排位,20a5b6d253c6948bad798924cf574bb94fb1658455f3bb975f2de9fa7e697db0,historical replay/domain drift,prediction/reference only; not default training
REFERENCE_ONLY,data/exploratory/lab_feedback/2026-09-14/metadata.csv,,CSV metadata,lyc,2026-09-14,seven candidate provenance,,extract only seven lyc rows into new manifest,do not copy full 11-row pilot manifest
REFERENCE_ONLY,data/exploratory/lab_feedback/2026-09-14/lyc_foucs_20260914.md,,Markdown note,lyc,2026-09-14,shared focus note,,task and subjective-state evidence,summarize into reference metadata
REFERENCE_ONLY,data/exploratory/lab_feedback/2026-09-14/lyc_unfoucs_20260914.md,,Markdown note,lyc,2026-09-14,shared unfocus note,,task and subjective-state evidence,summarize into reference metadata
REFERENCE_MIGRATION_CANDIDATE,data/locked/2026-09-07/lyc_focus_202609072034_raw.edf,data/reference/2026-09-07/lyc_focus_202609072034_raw.edf,EDF,lyc,2026-09-07,王者荣耀专注录制,6ebb9ebd1350d5b54521a776a60dec86d76fe4958b9d87b4d4684735e7635111,historical replay/cross-day reference,prediction/reference only; not default training; interval 30.0-599.5 s
MIGRATE_CORE,scripts/eeg_pipeline_utils.py,src/eeg_engagement/,Python,N/A,current,EDF preprocessing and features,93af26f557edad69a74de72359ef464c657dcbd3656790a5ab5bb74bb39773ff,core EDF/preprocessing/window/feature implementation,split across io preprocessing features and provenance modules; mne numpy scipy
MIGRATE_AFTER_REFACTOR,scripts/legacy_baseline_v0.py,src/eeg_engagement/models/bootstrap.py,Python,N/A,current,bootstrap model spec,7806992c6bcf5f7162b29e5df29d3fc5f1bc720457d02483d3a5fa1328c5fb83,extract constants band order and pipeline builder,do not copy legacy training CLI
MIGRATE_AFTER_REFACTOR,scripts/validate_new_paradigm_data.py,scripts/validate_data.py,Python,N/A,current,data validator,2469404ad7e758d7570110aa52164aaea110af6c8be147b30580fca3d35364d9,retain valuable schema/hash/header checks,parameterize repository root and optional sidecars
REFERENCE_ONLY,scripts/run_new_paradigm_first_pass.py,,Python,N/A,2026-09-16,first-pass experiment,f8504884b21922f6ce258130f4f81f118d5a97199d0d4ac6033ba13dec75bcf5,frozen experiment evidence,hard-coded session IDs and paths
REFERENCE_ONLY,scripts/replay_lyc_historical_gaming.py,,Python,N/A,2026-09-16,historical replay,967c375b33bb9f6da62890cc276acfb144461977ca579baf7fe4119a4b8efbe4,behavioral spec for generic prediction-only utility,hard-coded old manifests and legacy paths
KEEP_IN_LEGACY,data/legacy/,,directory,multiple,historical,legacy data,,not part of current engagement line,
KEEP_IN_LEGACY,data/reference/,,directory,multiple,historical,author/reference data,,not part of current personal engagement line,
KEEP_IN_LEGACY,data/current/new_paradigm_v1/raw/lyc/lyc_focus_202609161010.dsi,,DSI sidecar,lyc,2026-09-16,unknown,ea403ff651baaa13c2a433ab7a22aa45c069a5b004342b98cd84c2abe402ec77,orphan sidecar without matching EDF CSV or manifest row,retain for provenance review; not used by current pipeline
KEEP_IN_LEGACY,artifacts/legacy/,,directory,multiple,historical,legacy artifacts,,complete historical archive,
KEEP_IN_LEGACY,artifacts/subject_models/,,directory,multiple,historical,old personal models,,only frozen 9/16 model migrates,
KEEP_IN_LEGACY,artifacts/current/new_paradigm_v1/2026-09-16_lyc_historical_game_replay/,,directory,lyc,2026-09-16,historical replay outputs,,complete replay remains historical evidence,selected reference EDFs and provenance summary are sufficient
KEEP_IN_LEGACY,notebooks/,,directory,multiple,historical,old notebooks,,no direct import from new core,
